gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,total_rcv_correct,total_rcv_started,total_collision,radio_der_pct,collision_pct,der_pct
2,4,MIN,10,7,482,348,0,348,964,143,36.09958506224066,14.83402489626556,72.19917012448133
2,4,MIN,10,8,482,348,0,348,964,143,36.09958506224066,14.83402489626556,72.19917012448133
2,4,MIN,10,9,482,340,0,340,964,140,35.26970954356847,14.522821576763487,70.53941908713693
2,4,MIN,11,10,244,193,0,193,488,0,39.549180327868854,0.0,79.09836065573771
2,4,MIN,11,11,244,196,0,196,488,0,40.16393442622951,0.0,80.32786885245902
2,4,MIN,11,12,244,188,0,188,488,0,38.52459016393443,0.0,77.04918032786885
2,4,MIN,11,7,244,208,0,208,488,0,42.62295081967213,0.0,85.24590163934425
2,4,MIN,11,8,244,192,0,192,488,0,39.34426229508197,0.0,78.68852459016394
2,4,MIN,11,9,244,203,0,203,488,0,41.59836065573771,0.0,83.19672131147541
2,4,MIN,12,10,140,147,0,147,280,0,52.5,0.0,105.0
2,4,MIN,12,11,140,152,0,152,280,0,54.285714285714285,0.0,108.57142857142857
2,4,MIN,12,12,140,148,0,148,280,0,52.85714285714286,0.0,105.71428571428572
2,4,MIN,12,7,140,142,0,142,280,0,50.71428571428571,0.0,101.42857142857142
2,4,MIN,12,8,140,149,0,149,280,0,53.214285714285715,0.0,106.42857142857143
2,4,MIN,12,9,140,154,0,154,280,0,55.00000000000001,0.0,110.00000000000001
2,4,MIN,7,10,2993,1130,0,1130,5986,0,18.877380554627464,0.0,37.75476110925493
2,4,MIN,7,11,2993,1123,0,1123,5986,0,18.760441029067827,0.0,37.520882058135655
2,4,MIN,7,12,2993,1120,0,1120,5986,0,18.710324089542265,0.0,37.42064817908453
2,4,MIN,7,7,2993,1143,0,1143,5986,0,19.094553959238223,0.0,38.189107918476445
2,4,MIN,7,8,2993,1130,0,1130,5986,0,18.877380554627464,0.0,37.75476110925493
2,4,MIN,7,9,2993,1107,0,1107,5986,0,18.493150684931507,0.0,36.986301369863014
2,4,MIN,8,10,1675,561,0,561,3350,1911,16.746268656716417,57.04477611940298,33.492537313432834
2,4,MIN,8,11,1675,523,0,523,3350,1964,15.611940298507463,58.626865671641795,31.223880597014926
2,4,MIN,8,12,1675,540,0,540,3350,1933,16.119402985074625,57.701492537313435,32.23880597014925
2,4,MIN,8,7,1675,529,0,529,3350,1924,15.791044776119403,57.43283582089552,31.582089552238806
2,4,MIN,8,8,1675,557,0,557,3350,1937,16.62686567164179,57.820895522388064,33.25373134328358
2,4,MIN,8,9,1675,549,0,549,3350,1939,16.388059701492537,57.88059701492537,32.776119402985074
